Month,Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States)
2004-01-01,0,0,0.0,0.0,0.0
2004-02-01,0,4,0.0,0.0,0.0
2004-03-01,0,5,0.0,0.0,0.0
2004-04-01,0,5,0.0,0.0,0.0
2004-05-01,0,5,0.0,0.0,0.0
2004-06-01,0,3,0.0,0.0,0.0
2004-07-01,0,2,0.0,0.0,0.0
2004-08-01,0,3,0.0,0.0,0.0
2004-09-01,0,6,0.0,0.0,0.0
2004-10-01,0,6,0.0,0.0,0.0
2004-11-01,0,6,0.0,0.0,0.0
2004-12-01,0,5,0.0,0.0,0.0
2005-01-01,0,5,0.0,0.0,0.0
2005-02-01,0,5,0.0,0.0,0.0
2005-03-01,0,6,0.0,0.0,0.0
2005-04-01,0,6,0.0,0.0,0.0
2005-05-01,0,7,0.0,0.0,0.0
2005-06-01,0,3,0.0,0.0,0.0
2005-07-01,0,4,0.0,0.0,0.0
2005-08-01,0,5,0.0,0.0,0.0
2005-09-01,0,5,0.0,0.0,0.0
2005-10-01,0,6,3.0,0.0,0.0
2005-11-01,0,5,2.0,0.0,0.0
2005-12-01,0,4,1.0,0.0,0.0
2006-01-01,0,6,1.0,0.0,1.0
2006-02-01,0,6,1.0,0.0,1.0
2006-03-01,1,8,1.0,0.0,0.0
2006-04-01,0,6,0.0,0.0,1.0
2006-05-01,0,7,1.0,0.0,1.0
2006-06-01,0,4,0.0,0.0,0.0
2006-07-01,1,5,0.0,0.0,0.0
2006-08-01,0,4,0.0,0.0,0.0
2006-09-01,0,5,0.0,0.0,2.0
2006-10-01,0,6,0.0,0.0,1.0
2006-11-01,1,5,0.0,0.0,1.0
2006-12-01,0,5,0.0,0.0,1.0
2007-01-01,0,6,0.0,0.0,1.0
2007-02-01,0,7,0.0,0.0,1.0
2007-03-01,1,6,0.0,0.0,1.0
2007-04-01,1,6,0.0,0.0,0.0
2007-05-01,0,6,0.0,0.0,1.0
2007-06-01,1,6,0.0,0.0,1.0
2007-07-01,1,6,0.0,0.0,0.0
2007-08-01,1,5,0.0,0.0,1.0
2007-09-01,0,7,0.0,0.0,1.0
2007-10-01,1,6,0.0,0.0,1.0
2007-11-01,1,7,0.0,0.0,1.0
2007-12-01,1,7,0.0,0.0,0.0
2008-01-01,1,8,0.0,0.0,0.5
2008-02-01,1,8,0.0,0.0,1.0
2008-03-01,1,8,0.0,0.0,1.0
2008-04-01,1,10,0.0,0.0,1.0
2008-05-01,1,10,0.0,0.0,1.0
2008-06-01,1,10,0.0,0.0,1.0
2008-07-01,2,8,0.0,0.0,1.0
2008-08-01,1,9,0.0,0.0,0.5
2008-09-01,2,10,0.0,0.0,1.0
2008-10-01,2,10,0.5,0.0,1.0
2008-11-01,1,11,0.5,0.0,1.0
2008-12-01,2,10,0.0,0.0,0.5
2009-01-01,1,11,0.0,0.0,1.0
2009-02-01,2,13,0.0,0.0,1.0
2009-03-01,2,13,0.5,0.0,1.0
2009-04-01,3,15,13.0,0.0,3.0
2009-05-01,2,14,4.0,0.0,1.0
2009-06-01,2,13,1.0,0.0,1.0
2009-07-01,3,12,0.0,0.5,1.0
2009-08-01,2,12,1.0,0.0,0.5
2009-09-01,2,15,1.0,0.0,1.0
2009-10-01,3,17,2.0,0.0,1.0
2009-11-01,3,15,1.0,0.0,1.0
2009-12-01,2,15,1.0,0.0,0.0
2010-01-01,3,17,0.0,0.0,0.5
2010-02-01,2,15,0.5,0.0,0.5
2010-03-01,3,17,1.0,0.0,1.0
2010-04-01,3,18,1.0,0.0,1.0
2010-05-01,3,18,1.0,0.0,1.0
2010-06-01,3,14,0.5,0.0,0.5
2010-07-01,3,15,0.5,0.0,0.5
2010-08-01,3,15,0.0,0.0,1.0
2010-09-01,3,16,1.0,0.0,1.0
2010-10-01,3,17,1.0,0.0,1.0
2010-11-01,3,16,1.0,0.0,1.0
2010-12-01,3,16,0.5,0.0,1.0
2011-01-01,4,19,1.0,0.5,1.0
2011-02-01,4,21,1.0,0.0,1.0
2011-03-01,4,24,0.5,0.5,1.0
2011-04-01,4,21,1.0,0.5,1.0
2011-05-01,4,21,1.0,0.0,2.0
2011-06-01,4,19,0.5,0.0,1.0
2011-07-01,4,18,0.5,0.0,0.5
2011-08-01,4,18,0.5,0.5,1.0
2011-09-01,4,19,1.0,0.5,1.0
2011-10-01,4,20,0.5,0.5,1.0
2011-11-01,4,21,1.0,0.5,1.0
2011-12-01,4,19,1.0,0.0,0.5
2012-01-01,4,21,1.0,0.5,1.0
2012-02-01,5,24,1.0,0.5,1.0
2012-03-01,5,24,1.0,0.5,1.0
2012-04-01,5,23,1.0,0.5,1.0
2012-05-01,5,24,1.0,0.5,1.0
2012-06-01,5,22,0.5,0.5,2.0
2012-07-01,5,22,1.0,0.5,1.0
2012-08-01,5,21,0.5,0.5,1.0
2012-09-01,5,22,1.0,0.5,1.0
2012-10-01,5,22,1.0,0.5,3.0
2012-11-01,4,23,1.0,0.5,1.0
2012-12-01,5,21,1.0,0.5,1.0
2013-01-01,5,24,1.0,0.5,2.0
2013-02-01,5,23,1.0,1.0,1.0
2013-03-01,5,23,1.0,1.0,1.0
2013-04-01,5,23,1.0,0.5,1.0
2013-05-01,5,24,1.0,0.5,1.0
2013-06-01,5,22,0.5,0.5,1.0
2013-07-01,6,20,0.5,0.5,2.0
2013-08-01,6,22,0.5,0.5,1.0
2013-09-01,5,23,1.0,0.5,1.0
2013-10-01,6,24,1.0,0.5,2.0
2013-11-01,6,23,1.0,1.0,1.0
2013-12-01,5,24,1.0,0.5,1.0
2014-01-01,6,27,1.0,0.5,1.0
2014-02-01,6,26,1.0,0.5,1.0
2014-03-01,6,24,1.0,1.0,2.0
2014-04-01,6,29,1.0,0.5,3.0
2014-05-01,6,26,1.0,0.5,2.0
2014-06-01,6,25,1.0,0.5,2.0
2014-07-01,7,24,1.0,0.5,3.0
2014-08-01,6,23,1.0,0.5,10.0
2014-09-01,6,24,1.0,0.5,7.0
2014-10-01,8,25,2.0,0.5,27.0
2014-11-01,5,26,1.0,0.5,3.0
2014-12-01,6,24,1.0,0.5,2.0
2015-01-01,6,27,1.0,0.5,3.0
2015-02-01,6,26,1.0,0.5,4.0
2015-03-01,6,26,1.0,1.0,2.0
2015-04-01,6,27,1.0,1.0,2.0
2015-05-01,6,26,1.0,0.5,1.0
2015-06-01,6,24,0.5,0.5,1.0
2015-07-01,7,27,0.5,0.5,1.0
2015-08-01,7,25,0.5,0.5,1.0
2015-09-01,6,28,1.0,1.0,2.0
2015-10-01,6,28,1.0,1.0,1.0
2015-11-01,6,28,1.0,1.0,1.0
2015-12-01,6,27,1.0,0.5,1.0
2016-01-01,7,26,1.0,1.0,1.0
2016-02-01,8,28,1.0,1.0,1.0
2016-03-01,7,27,1.0,1.0,1.0
2016-04-01,7,27,1.0,1.0,1.0
2016-05-01,7,28,1.0,1.0,1.0
2016-06-01,7,24,0.5,1.0,1.0
2016-07-01,7,23,0.5,0.5,1.0
2016-08-01,7,21,0.5,0.5,1.0
2016-09-01,7,26,1.0,1.0,1.0
2016-10-01,7,25,1.0,1.0,1.0
2016-11-01,6,23,1.0,1.0,1.0
2016-12-01,6,23,1.0,1.0,1.0
2017-01-01,7,27,1.0,1.0,1.0
2017-02-01,7,30,1.0,1.0,1.0
2017-03-01,7,31,1.0,1.0,1.0
2017-04-01,7,30,1.0,1.0,1.0
2017-05-01,7,28,1.0,1.0,1.0
2017-06-01,7,24,0.5,1.0,1.0
2017-07-01,8,26,0.5,1.0,1.0
2017-08-01,8,31,0.5,1.0,1.0
2017-09-01,7,28,1.0,1.0,1.0
2017-10-01,7,28,1.0,1.0,1.0
2017-11-01,7,29,1.0,1.0,1.0
2017-12-01,7,28,1.0,1.0,1.0
2018-01-01,7,30,1.0,1.0,2.0
2018-02-01,8,33,1.0,1.0,1.0
2018-03-01,8,33,1.0,1.0,1.0
2018-04-01,8,34,1.0,1.0,2.0
2018-05-01,8,35,1.0,1.0,2.0
2018-06-01,8,25,0.5,1.0,1.0
2018-07-01,8,28,0.5,1.0,1.0
2018-08-01,8,28,0.5,1.0,1.0
2018-09-01,8,32,1.0,1.0,1.0
2018-10-01,8,35,1.0,1.0,2.0
2018-11-01,8,34,1.0,1.0,2.0
2018-12-01,8,32,1.0,1.0,1.0
2019-01-01,8,37,1.0,1.0,2.0
2019-02-01,8,36,1.0,1.0,2.0
2019-03-01,8,39,1.0,1.0,2.0
2019-04-01,8,40,1.0,1.0,4.0
2019-05-01,8,39,1.0,1.0,3.0
2019-06-01,9,35,0.5,1.0,1.0
2019-07-01,9,34,0.5,1.0,1.0
2019-08-01,8,31,0.5,1.0,1.0
2019-09-01,8,38,1.0,1.0,1.0
2019-10-01,8,39,1.0,1.0,1.0
2019-11-01,7,39,1.0,1.0,1.0
2019-12-01,8,36,1.0,1.0,1.0
2020-01-01,11,46,2.0,1.0,4.0
2020-02-01,13,51,19.0,1.0,7.0
2020-03-01,24,60,100.0,1.0,18.0
2020-04-01,11,48,31.0,2.0,6.0
2020-05-01,10,46,18.0,1.0,3.0
2020-06-01,10,43,9.0,1.0,3.0
2020-07-01,11,44,12.0,1.0,3.0
2020-08-01,10,40,11.0,1.0,2.0
2020-09-01,10,50,12.0,2.0,2.0
2020-10-01,10,47,10.0,2.0,3.0
2020-11-01,10,42,8.0,2.0,2.0
2020-12-01,10,42,8.0,1.0,2.0
2021-01-01,11,43,7.0,1.0,1.0
2021-02-01,11,49,7.0,1.0,1.0
2021-03-01,11,49,7.0,2.0,1.0
2021-04-01,13,49,6.0,2.0,1.0
2021-05-01,12,50,6.0,2.0,1.0
2021-06-01,12,49,4.0,1.0,1.0
2021-07-01,13,47,3.0,1.0,2.0
2021-08-01,13,48,4.0,1.0,2.0
2021-09-01,12,44,5.0,2.0,2.0
2021-10-01,11,45,5.0,2.0,2.0
2021-11-01,11,46,4.0,2.0,1.0
2021-12-01,12,45,4.0,1.0,2.0
2022-01-01,14,59,7.0,2.0,1.0
2022-02-01,15,62,6.0,3.0,1.0
2022-03-01,13,63,6.0,2.0,1.0
2022-04-01,13,72,7.0,3.0,1.0
2022-05-01,14,74,6.0,2.0,3.0
2022-06-01,15,63,4.0,2.0,1.0
2022-07-01,15,62,3.0,2.0,2.0
2022-08-01,14,62,4.0,1.0,2.0
2022-09-01,13,64,5.0,2.0,1.0
2022-10-01,13,68,5.0,2.0,2.0
2022-11-01,12,66,5.0,2.0,1.0
2022-12-01,14,62,4.0,2.0,1.0
2023-01-01,14,66,4.0,2.0,1.0
2023-02-01,15,73,6.0,3.0,1.0
2023-03-01,15,76,5.0,3.0,1.0
2023-04-01,14,74,5.0,3.0,1.0
2023-05-01,15,76,5.0,3.0,1.0
2023-06-01,16,68,3.0,2.0,1.0
2023-07-01,16,64,2.0,2.0,1.0
2023-08-01,16,65,3.0,2.0,1.0
2023-09-01,16,73,5.0,3.0,2.0
2023-10-01,17,78,5.0,3.0,1.0
2023-11-01,16,73,5.0,3.0,2.0
2023-12-01,16,71,4.0,2.0,1.0
